GroupID,LC_Adj,Dev_Temp_LC,M_Temp_LC,Max_Temp_LC,Dev_Temp_LC_INIT,M_Temp_LC_INIT,Max_Temp_LC_INIT
B71,3,0.745,30.95,31.335,1.129,32.124,32.774
B71,4,0.293,30.059,30.22,0.745,30.95,31.335
B71,5,NA,NA,NA,0.293,30.059,30.22
B71,1,2.308,31.686,33.008,NA,NA,NA
B71,2,1.129,32.124,32.774,2.308,31.686,33.008
B71,3,0.745,30.95,31.335,1.129,32.124,32.774
B71,4,0.293,30.059,30.22,0.745,30.95,31.335
B71,5,NA,NA,NA,0.293,30.059,30.22
B78,1,1.263,31.76,32.32,NA,NA,NA
B78,2,1.579,31.994,32.952,1.263,31.76,32.32
B78,3,1.457,30.959,32.087,1.579,31.994,32.952
B78,4,0.693,30.008,30.313,1.457,30.959,32.087
B78,5,NA,NA,NA,0.693,30.008,30.313
B78,1,1.263,31.76,32.32,NA,NA,NA
B78,2,1.579,31.994,32.952,1.263,31.76,32.32
B78,3,1.457,30.959,32.087,1.579,31.994,32.952
B78,4,0.693,30.008,30.313,1.457,30.959,32.087
B78,5,NA,NA,NA,0.693,30.008,30.313
B79,1,0.604,31.511,31.684,NA,NA,NA
B79,2,1.39,31.852,32.45,0.604,31.511,31.684
B79,3,1.385,30.798,31.8,1.39,31.852,32.45
B79,4,0.52,29.859,30.16,1.385,30.798,31.8
B79,5,NA,NA,NA,0.52,29.859,30.16
B79,1,0.604,31.511,31.684,NA,NA,NA
B79,2,1.39,31.852,32.45,0.604,31.511,31.684
B79,3,1.385,30.798,31.8,1.39,31.852,32.45
B79,4,0.52,29.859,30.16,1.385,30.798,31.8
B79,5,NA,NA,NA,0.52,29.859,30.16
B80,1,1.553,31.556,32.353,NA,NA,NA
B80,2,0.9,32.087,32.6,1.553,31.556,32.353
B80,3,1.015,30.78,31.47,0.9,32.087,32.6
B80,4,1.043,29.778,30.598,1.015,30.78,31.47
B80,5,NA,NA,NA,1.043,29.778,30.598
B80,1,1.553,31.556,32.353,NA,NA,NA
B80,2,0.9,32.087,32.6,1.553,31.556,32.353
B80,3,1.015,30.78,31.47,0.9,32.087,32.6
B80,4,1.043,29.778,30.598,1.015,30.78,31.47
B80,5,NA,NA,NA,1.043,29.778,30.598
B83,1,2.09,31.594,32.78,NA,NA,NA
B83,2,1.417,31.927,32.887,2.09,31.594,32.78
B83,3,3.132,30.61,31.615,1.417,31.927,32.887
B83,4,1.59,29.848,31.1,3.132,30.61,31.615
B83,5,NA,NA,NA,1.59,29.848,31.1
B83,1,2.09,31.594,32.78,NA,NA,NA
B83,2,1.417,31.927,32.887,2.09,31.594,32.78
B83,3,3.132,30.61,31.615,1.417,31.927,32.887
B83,4,1.59,29.848,31.1,3.132,30.61,31.615
B83,5,NA,NA,NA,1.59,29.848,31.1
LY103,1,1.121,31.646,32.148,NA,NA,NA
LY103,2,1.04,31.98,32.583,1.121,31.646,32.148
LY103,3,1.48,30.84,31.895,1.04,31.98,32.583
LY103,4,0.54,29.98,30.2,1.48,30.84,31.895
LY103,5,NA,NA,NA,0.54,29.98,30.2
LY103,1,1.121,31.646,32.148,NA,NA,NA
LY103,2,1.04,31.98,32.583,1.121,31.646,32.148
LY103,3,1.48,30.84,31.895,1.04,31.98,32.583
LY103,4,0.54,29.98,30.2,1.48,30.84,31.895
LY103,5,NA,NA,NA,0.54,29.98,30.2
LY106,1,1.162,31.717,32.188,NA,NA,NA
LY106,2,1.347,31.831,32.687,1.162,31.717,32.188
LY106,3,1.387,30.883,31.947,1.347,31.831,32.687
LY106,4,0.567,29.998,30.28,1.387,30.883,31.947
LY106,5,NA,NA,NA,0.567,29.998,30.28
LY106,1,1.162,31.717,32.188,NA,NA,NA
LY106,2,1.347,31.831,32.687,1.162,31.717,32.188
LY106,3,1.387,30.883,31.947,1.347,31.831,32.687
LY106,4,0.567,29.998,30.28,1.387,30.883,31.947
LY106,5,NA,NA,NA,0.567,29.998,30.28
LY249,1,1.936,31.732,32.649,NA,NA,NA
LY249,2,1.164,32.207,32.78,1.936,31.732,32.649
LY249,3,1.277,31.041,31.933,1.164,32.207,32.78
LY249,4,0.625,29.997,30.37,1.277,31.041,31.933
LY249,5,NA,NA,NA,0.625,29.997,30.37
LY249,1,1.936,31.732,32.649,NA,NA,NA
LY249,2,1.164,32.207,32.78,1.936,31.732,32.649
LY249,3,1.277,31.041,31.933,1.164,32.207,32.78
LY249,4,0.625,29.997,30.37,1.277,31.041,31.933
LY249,5,NA,NA,NA,0.625,29.997,30.37
LY252,1,0.243,31.298,31.42,NA,NA,NA
LY252,2,0.847,32.102,32.403,0.243,31.298,31.42
LY252,3,0.743,30.734,31.243,0.847,32.102,32.403
LY252,4,0.52,29.851,30.16,0.743,30.734,31.243
LY252,5,NA,NA,NA,0.52,29.851,30.16
LY253,1,0.973,31.429,32.13,NA,NA,NA
LY253,2,0.86,32.064,32.417,0.973,31.429,32.13
LY253,3,0.865,30.721,31.335,0.86,32.064,32.417
LY253,4,0.47,29.804,30.09,0.865,30.721,31.335
LY253,5,NA,NA,NA,0.47,29.804,30.09
LY272,1,1.815,31.722,32.668,NA,NA,NA
LY272,2,1.154,32.23,32.868,1.815,31.722,32.668
LY272,3,1.207,30.888,31.72,1.154,32.23,32.868
LY272,4,0.412,29.951,30.227,1.207,30.888,31.72
LY272,5,NA,NA,NA,0.412,29.951,30.227
LY272,1,1.815,31.722,32.668,NA,NA,NA
LY272,2,1.154,32.23,32.868,1.815,31.722,32.668
LY272,3,1.207,30.888,31.72,1.154,32.23,32.868
LY272,4,0.412,29.951,30.227,1.207,30.888,31.72
LY272,5,NA,NA,NA,0.412,29.951,30.227
LY274B14,1,1.091,31.498,32.266,NA,NA,NA
LY274B14,2,1.194,32.014,32.634,1.091,31.498,32.266
LY274B14,3,0.826,30.711,31.313,1.194,32.014,32.634
LY274B14,4,0.51,29.817,30.11,0.826,30.711,31.313
LY274B14,1,1.091,31.498,32.266,NA,NA,NA
LY274B14,2,1.194,32.014,32.634,1.091,31.498,32.266
LY274B14,3,0.826,30.711,31.313,1.194,32.014,32.634
LY274B14,4,0.51,29.817,30.11,0.826,30.711,31.313
LY274B14,5,NA,NA,NA,0.51,29.817,30.11
LY344,1,2.206,31.827,32.992,NA,NA,NA
LY344,2,0.625,31.822,32.165,2.206,31.827,32.992
LY344,3,1.4,30.932,31.57,0.625,31.822,32.165
LY344,4,0.727,30.079,30.457,1.4,30.932,31.57
LY344,5,NA,NA,NA,0.727,30.079,30.457
LY344,1,2.206,31.827,32.992,NA,NA,NA
LY344,2,0.625,31.822,32.165,2.206,31.827,32.992
LY344,3,1.4,30.932,31.57,0.625,31.822,32.165
LY344,4,0.727,30.079,30.457,1.4,30.932,31.57
LY344,5,NA,NA,NA,0.727,30.079,30.457
LY347,1,1.123,31.657,32.478,NA,NA,NA
LY347,2,1.416,31.93,32.516,1.123,31.657,32.478
LY347,3,0.75,30.853,31.38,1.416,31.93,32.516
LY347,4,0.77,29.933,30.28,0.75,30.853,31.38
LY347,5,NA,NA,NA,0.77,29.933,30.28
LY347,1,1.123,31.657,32.478,NA,NA,NA
LY347,2,1.416,31.93,32.516,1.123,31.657,32.478
LY347,3,0.75,30.853,31.38,1.416,31.93,32.516
LY347,4,0.77,29.933,30.28,0.75,30.853,31.38
LY347,5,NA,NA,NA,0.77,29.933,30.28
LY353B002,1,1.867,31.473,32.57,NA,NA,NA
LY353B002,2,0.933,32.076,32.678,1.867,31.473,32.57
LY353B002,3,0.967,30.831,31.457,0.933,32.076,32.678
LY353B002,4,0.952,29.842,30.543,0.967,30.831,31.457
LY353B002,5,NA,NA,NA,0.952,29.842,30.543
LY353B002,1,1.867,31.473,32.57,NA,NA,NA
LY353B002,2,0.933,32.076,32.678,1.867,31.473,32.57
LY353B002,3,0.967,30.831,31.457,0.933,32.076,32.678
LY353B002,4,0.952,29.842,30.543,0.967,30.831,31.457
LY353B002,5,NA,NA,NA,0.952,29.842,30.543
LY355B012,1,2.027,31.535,32.697,NA,NA,NA
LY355B012,2,0.907,32.119,32.45,2.027,31.535,32.697
LY355B012,3,1.054,30.907,31.587,0.907,32.119,32.45
LY355B012,4,0.783,29.919,30.508,1.054,30.907,31.587
LY355B012,5,NA,NA,NA,0.783,29.919,30.508
LY355B012,1,2.027,31.535,32.697,NA,NA,NA
LY355B012,2,0.907,32.119,32.45,2.027,31.535,32.697
LY355B012,3,1.054,30.907,31.587,0.907,32.119,32.45
LY357,1,2.59,31.479,32.77,NA,NA,NA
LY357,2,0.63,31.793,32.143,2.59,31.479,32.77
LY357,3,1.07,31.024,31.57,0.63,31.793,32.143
LY357,4,0.883,29.919,30.37,1.07,31.024,31.57
LY357,5,NA,NA,NA,0.883,29.919,30.37
LY357,1,2.59,31.479,32.77,NA,NA,NA
LY357,2,0.63,31.793,32.143,2.59,31.479,32.77
LY357,3,1.07,31.024,31.57,0.63,31.793,32.143
LY357,4,0.883,29.919,30.37,1.07,31.024,31.57
LY357,5,NA,NA,NA,0.883,29.919,30.37
LY363,1,1.89,31.476,32.587,NA,NA,NA
LY363,2,0.963,32.114,32.56,1.89,31.476,32.587
LY363,3,1.043,30.862,31.53,0.963,32.114,32.56
LY363,4,0.84,29.926,30.545,1.043,30.862,31.53
LY363,5,NA,NA,NA,0.84,29.926,30.545
LY363,1,1.89,31.476,32.587,NA,NA,NA
LY363,2,0.963,32.114,32.56,1.89,31.476,32.587
LY363,3,1.043,30.862,31.53,0.963,32.114,32.56
LY363,4,0.84,29.926,30.545,1.043,30.862,31.53
LY363,5,NA,NA,NA,0.84,29.926,30.545
LY372,1,1.63,31.77,32.73,NA,NA,NA
LY372,2,0.645,32.271,32.58,1.63,31.77,32.73
LY372,3,1.05,30.868,31.66,0.645,32.271,32.58
LY372,4,0.52,29.946,30.26,1.05,30.868,31.66
LY372,5,NA,NA,NA,0.52,29.946,30.26
LY372,1,1.63,31.77,32.73,NA,NA,NA
LY372,2,0.645,32.271,32.58,1.63,31.77,32.73
LY372,3,1.05,30.868,31.66,0.645,32.271,32.58
LY386,1,1.605,31.825,32.665,NA,NA,NA
LY386,2,1.04,32.269,32.74,1.605,31.825,32.665
LY386,3,1.003,30.905,31.66,1.04,32.269,32.74
LY386,1,1.605,31.825,32.665,NA,NA,NA
LY386,2,1.04,32.269,32.74,1.605,31.825,32.665
LY386,3,1.003,30.905,31.66,1.04,32.269,32.74
LY394,1,1.409,31.462,32.242,NA,NA,NA
LY394,2,1.075,32.153,32.69,1.409,31.462,32.242
LY394,3,0.97,30.788,31.43,1.075,32.153,32.69
LY394,4,1.07,29.883,30.613,0.97,30.788,31.43
LY394,5,NA,NA,NA,1.07,29.883,30.613
LY394,1,1.409,31.462,32.242,NA,NA,NA
LY394,2,1.075,32.153,32.69,1.409,31.462,32.242
LY394,3,0.97,30.788,31.43,1.075,32.153,32.69
LY394,4,1.07,29.883,30.613,0.97,30.788,31.43
LY394,5,NA,NA,NA,1.07,29.883,30.613
LY399,1,0.879,31.534,32.042,NA,NA,NA
LY399,2,0.82,32.146,32.56,0.879,31.534,32.042
LY399,3,0.89,30.741,31.348,0.82,32.146,32.56
LY399,4,0.933,29.796,30.443,0.89,30.741,31.348
LY399,5,NA,NA,NA,0.933,29.796,30.443
LY399,1,0.879,31.534,32.042,NA,NA,NA
LY399,2,0.82,32.146,32.56,0.879,31.534,32.042
LY399,3,0.89,30.741,31.348,0.82,32.146,32.56
LY399,4,0.933,29.796,30.443,0.89,30.741,31.348
LY399,5,NA,NA,NA,0.933,29.796,30.443
LY479,1,1.625,31.712,32.47,NA,NA,NA
LY479,2,1.44,31.909,32.86,1.625,31.712,32.47
LY479,3,0.67,31.071,31.47,1.44,31.909,32.86
LY479,4,0.86,30.009,30.46,0.67,31.071,31.47
LY479,5,NA,NA,NA,0.86,30.009,30.46
LY479,1,1.625,31.712,32.47,NA,NA,NA
LY479,2,1.44,31.909,32.86,1.625,31.712,32.47
LY479,3,0.67,31.071,31.47,1.44,31.909,32.86
LY529B016,1,2.042,31.795,32.962,NA,NA,NA
LY529B016,2,0.96,31.985,32.39,2.042,31.795,32.962
LY529B016,3,1.333,31.088,32.068,0.96,31.985,32.39
LY529B016,4,0.627,29.999,30.37,1.333,31.088,32.068
LY529B016,5,NA,NA,NA,0.627,29.999,30.37
LY529B016,1,2.042,31.795,32.962,NA,NA,NA
LY529B016,2,0.96,31.985,32.39,2.042,31.795,32.962
LY529B016,3,1.333,31.088,32.068,0.96,31.985,32.39
LY529B016,4,0.627,29.999,30.37,1.333,31.088,32.068
LY529B016,5,NA,NA,NA,0.627,29.999,30.37
LY551,1,2.165,31.059,32.49,NA,NA,NA
LY551,2,1.106,32.222,32.816,2.165,31.059,32.49
LY551,3,1.012,30.921,31.625,1.106,32.222,32.816
LY551,4,0.717,30.22,30.673,1.012,30.921,31.625
LY551,5,NA,NA,NA,0.717,30.22,30.673
LY551,1,2.165,31.059,32.49,NA,NA,NA
LY551,2,1.106,32.222,32.816,2.165,31.059,32.49
LY551,3,1.012,30.921,31.625,1.106,32.222,32.816
LY551,4,0.717,30.22,30.673,1.012,30.921,31.625
LY551,5,NA,NA,NA,0.717,30.22,30.673
LY79,1,0.923,31.608,32.258,NA,NA,NA
LY79,2,0.865,32.084,32.52,0.923,31.608,32.258
LY79,3,0.727,30.771,31.27,0.865,32.084,32.52
LY79,4,0.897,29.928,30.457,0.727,30.771,31.27
LY79,5,NA,NA,NA,0.897,29.928,30.457
LY79,1,0.923,31.608,32.258,NA,NA,NA
LY79,2,0.865,32.084,32.52,0.923,31.608,32.258
LY79,3,0.727,30.771,31.27,0.865,32.084,32.52
LY79,4,0.897,29.928,30.457,0.727,30.771,31.27
LY79,5,NA,NA,NA,0.897,29.928,30.457
LY85,1,1.39,31.712,32.61,NA,NA,NA
LY85,2,1.377,32.203,32.818,1.39,31.712,32.61
LY85,3,0.777,30.753,31.287,1.377,32.203,32.818
LY85,4,1.05,30.002,30.83,0.777,30.753,31.287
LY85,5,NA,NA,NA,1.05,30.002,30.83
LY85,1,1.39,31.712,32.61,NA,NA,NA
LY85,2,1.377,32.203,32.818,1.39,31.712,32.61
LY85,3,0.777,30.753,31.287,1.377,32.203,32.818
LY85,4,1.05,30.002,30.83,0.777,30.753,31.287
LY85,5,NA,NA,NA,1.05,30.002,30.83
LY90,1,1.705,31.754,32.73,NA,NA,NA
LY90,2,0.95,32.301,32.737,1.705,31.754,32.73
LY90,3,1.017,30.891,31.66,0.95,32.301,32.737
LY90,4,0.682,29.916,30.283,1.017,30.891,31.66
LY90,5,NA,NA,NA,0.682,29.916,30.283
LY90,1,1.705,31.754,32.73,NA,NA,NA
LY90,2,0.95,32.301,32.737,1.705,31.754,32.73
LY90,3,1.017,30.891,31.66,0.95,32.301,32.737
LY90,4,0.682,29.916,30.283,1.017,30.891,31.66
LY90,5,NA,NA,NA,0.682,29.916,30.283
LY97,1,0.928,31.579,32.223,NA,NA,NA
LY97,2,0.892,32.091,32.475,0.928,31.579,32.223
LY97,3,0.67,30.701,31.17,0.892,32.091,32.475
LY97,4,0.757,29.899,30.44,0.67,30.701,31.17
LY97,5,NA,NA,NA,0.757,29.899,30.44
LY97,1,0.928,31.579,32.223,NA,NA,NA
LY97,2,0.892,32.091,32.475,0.928,31.579,32.223
LY97,3,0.67,30.701,31.17,0.892,32.091,32.475
LY97,4,0.757,29.899,30.44,0.67,30.701,31.17
LY97,5,NA,NA,NA,0.757,29.899,30.44
O142,1,1.3,31.621,32.145,NA,NA,NA
O142,2,1.398,32.312,32.97,1.3,31.621,32.145
O142,3,0.77,30.802,31.373,1.398,32.312,32.97
O142,4,0.34,29.988,30.22,0.77,30.802,31.373
O142,5,NA,NA,NA,0.34,29.988,30.22
O142,1,1.3,31.621,32.145,NA,NA,NA
O142,2,1.398,32.312,32.97,1.3,31.621,32.145
O142,3,0.77,30.802,31.373,1.398,32.312,32.97
O142,4,0.34,29.988,30.22,0.77,30.802,31.373
O142,5,NA,NA,NA,0.34,29.988,30.22
O36,1,1.157,31.608,32.333,NA,NA,NA
O36,2,1.5,32.15,32.685,1.157,31.608,32.333
O36,3,0.6,30.823,31.21,1.5,32.15,32.685
O36,4,0.905,29.945,30.415,0.6,30.823,31.21
O36,5,NA,NA,NA,0.905,29.945,30.415
O36,1,1.157,31.608,32.333,NA,NA,NA
O36,2,1.5,32.15,32.685,1.157,31.608,32.333
O36,3,0.6,30.823,31.21,1.5,32.15,32.685
O36,4,0.905,29.945,30.415,0.6,30.823,31.21
O36,5,NA,NA,NA,0.905,29.945,30.415
SY517,1,1.473,31.578,32.413,NA,NA,NA
SY517,2,0.917,32.089,32.357,1.473,31.578,32.413
SY517,3,1.378,31.133,32.088,0.917,32.089,32.357
SY517,4,0.853,29.864,30.24,1.378,31.133,32.088
SY517,5,NA,NA,NA,0.853,29.864,30.24
SY517,1,1.473,31.578,32.413,NA,NA,NA
SY517,2,0.917,32.089,32.357,1.473,31.578,32.413
SY517,3,1.378,31.133,32.088,0.917,32.089,32.357
SY517,4,0.853,29.864,30.24,1.378,31.133,32.088
SY517,5,NA,NA,NA,0.853,29.864,30.24
SY518,1,2.629,31.383,32.46,NA,NA,NA
SY518,2,1.287,31.931,32.287,2.629,31.383,32.46
SY518,3,1.498,31.155,31.933,1.287,31.931,32.287
SY518,4,0.347,29.725,29.927,1.498,31.155,31.933
SY518,5,NA,NA,NA,0.347,29.725,29.927
SY518,1,2.629,31.383,32.46,NA,NA,NA
SY518,2,1.287,31.931,32.287,2.629,31.383,32.46
SY518,3,1.498,31.155,31.933,1.287,31.931,32.287
SY518,4,0.347,29.725,29.927,1.498,31.155,31.933
SY518,5,NA,NA,NA,0.347,29.725,29.927
SY598,1,0.777,31.62,32.157,NA,NA,NA
SY598,2,0.95,32.116,32.61,0.777,31.62,32.157
SY598,3,0.78,30.705,31.28,0.95,32.116,32.61
SY598,4,0.813,29.915,30.427,0.78,30.705,31.28
SY598,5,NA,NA,NA,0.813,29.915,30.427
SY598,1,0.777,31.62,32.157,NA,NA,NA
SY598,2,0.95,32.116,32.61,0.777,31.62,32.157
SY598,3,0.78,30.705,31.28,0.95,32.116,32.61
SY598,4,0.813,29.915,30.427,0.78,30.705,31.28
SY598,5,NA,NA,NA,0.813,29.915,30.427
