FishID,GroupID,Rank,LC_Adj,TL,Init_TL,Diff_TL,Perc_change_TL,R2_Shrink,R1_Shrink,Shrinking,Size_R2R1_Initial,Max_Temp_LC,Max_Temp_LC_INIT
LY344_2,LY344,2,3,57.83,57.17,0.67,1.171943327,0,,0,0.808971275,31.57,32.165
B20_1,B20,1,3,57.17,56.5,0.67,1.185840708,,0,0,0.831858407,31.583,32.73
O142_2,O142,2,3,57,56.33,0.67,1.189419492,0,,0,0.756107383,31.373,32.97
LY344_1,LY344,1,1,70.33,69.5,0.83,1.194244604,,0,0,0.827338129,32.992,33.4885
SY517_2,SY517,2,2,56.67,56,0.67,1.196428571,0,,0,0.756756757,32.357,32.413
B005_2,B005,2,5,56.5,55.83,0.67,1.200071646,0,,0,0.786338028,28.545,30.18
B54_1,B54,1,5,69,68.17,0.83,1.217544374,,0,0,0.796978143,28.48125,30.285
B54_2,B54,2,4,54.33,53.67,0.67,1.248369666,0,,0,0.785452949,30.285,31.488
SY518_2,SY518,2,3,54.33,53.67,0.67,1.248369666,0,,0,0.791242813,31.933,32.287
B007_2,B007,2,5,54,53.33,0.67,1.256328521,0,,0,0.71747612,27.829,30.28
B31_1,B31,1,4,80.17,79.17,1,1.263104711,,0,0,0.795755968,30.37,31.74
SY518_2,SY518,2,2,53.67,53,0.67,1.264150943,0,,0,0.796992481,32.287,32.46
B58_1,B58,1,2,80,79,1,1.265822785,,0,0,0.746835443,32.573,32.19
LY394_1,LY394,1,5,80,79,1,1.265822785,,0,0,0.689873418,28.62575,30.613
B010_1,B010,1,1,79,78,1,1.282051282,,0,0,0.692307692,33.04,33.3092
B38_1,B38,1,3,65.5,64.67,0.83,1.283438998,,0,0,0.783516314,31.13,32.318
LY529B016_1,LY529B016,1,5,78.67,77.67,1,1.287498391,,0,0,0.778936526,28.5155,30.37
LY529B016_1,LY529B016,1,1,78,77,1,1.298701299,,0,0,0.753246753,32.962,32.5645
B80_1,B80,1,2,64.33,63.5,0.83,1.307086614,,0,0,0.811023622,32.6,32.353
B011_2,B011,2,3,51.83,51.17,0.67,1.309360954,0,,0,0.765674098,31.487,32.712
LY85_1,LY85,1,5,64,63.17,0.83,1.313914833,,0,0,0.751939212,29.33725,30.83
B80_2,B80,2,3,51.17,50.5,0.67,1.326732673,0,,0,0.785014768,31.47,32.6
O142_1,O142,1,5,75.5,74.5,1,1.342281879,,0,0,0.769530201,27.3615,30.22
B35_2,B35,2,4,49.67,49,0.67,1.367346939,0,,0,0.748091603,30.5,31.13
B83_2,B83,2,4,61.17,60.33,0.83,1.375766617,0,,0,0.792044112,31.1,31.615
B78_2,B78,2,2,36.83,36.33,0.5,1.376273053,0,,0,0.789782609,32.952,32.32
LY103_2,LY103,2,2,49.17,48.5,0.67,1.381443299,0,,0,0.687943262,32.583,32.148
B83_2,B83,2,2,60.83,60,0.83,1.383333333,0,,0,0.805369128,32.887,32.78
LY551_1,LY551,1,4,72.17,71.17,1,1.405086413,,0,0,0.763383448,30.673,31.625
B58_2,B58,2,2,59.83,59,0.83,1.406779661,0,,0,0.746835443,32.573,32.19
B64_1,B64,1,3,72,71,1,1.408450704,,0,0,0.821549296,32.055,32.753
B64_1,B64,1,1,71,70,1,1.428571429,,0,0,0.828571429,33.658,33.91575
B64_2,B64,2,4,58.67,57.83,0.83,1.435241224,0,,0,0.803194444,30.425,32.055
LY85_2,LY85,2,3,47.33,46.67,0.67,1.435611742,0,,0,0.750683609,31.287,32.818
LY353B002_2,LY353B002,2,2,58.33,57.5,0.83,1.443478261,0,,0,0.766666667,32.678,32.57
B38_1,B38,1,5,69.5,68.5,1,1.459854015,,0,0,0.739708029,28.8635,30.5
B004_2,B004,2,4,57.67,56.83,0.83,1.460496217,0,,0,0.878769136,30.41,31.43
B24_2,B24,2,4,46.33,45.67,0.67,1.467046201,0,,0,0.79426087,30.03,31.457
B28_1,B28,1,1,69,68,1,1.470588235,,0,0,0.764705882,32.488,31.70425
B71_1,B71,1,2,68.5,67.5,1,1.481481481,,0,0,0.755555556,32.774,33.008
B004_2,B004,2,2,56.83,56,0.83,1.482142857,0,,0,0.903225806,33.12,32.985
LY479_2,LY479,2,1,56.83,56,0.83,1.482142857,0,,0,0.794326241,32.47,31.84285714
B33_1,B33,1,4,67.67,66.67,1,1.499925004,,0,0,0.799910004,30.18,31.55
LY90_2,LY90,2,4,55.5,54.67,0.83,1.51820011,0,,0,0.796126402,30.283,31.66
LY394_2,LY394,2,5,55.33,54.5,0.83,1.52293578,0,,0,0.689873418,28.62575,30.613
LY551_2,LY551,2,4,55.17,54.33,0.83,1.527701086,0,,0,0.763383448,30.673,31.625
LY97_2,LY97,2,4,55.17,54.33,0.83,1.527701086,0,,0,0.744246575,30.44,31.17
B142_2,B142,2,5,55,54.17,0.83,1.532213402,0,,0,0.742054795,28.32725,30.427
B27_2,B27,2,1,54.83,54,0.83,1.537037037,0,,0,0.72,32.544,31.865
LY106_1,LY106,1,1,66,65,1,1.538461538,,0,0,0.8,32.188,30.684
B006_2,B006,2,2,44.17,43.5,0.67,1.540229885,0,,0,0.707317073,32.568,31.98
LY394_2,LY394,2,4,54.5,53.67,0.83,1.546487796,0,,0,0.691000386,30.613,31.43
B010_2,B010,2,2,54.17,53.33,0.83,1.556347272,0,,0,0.675063291,32.887,33.04
LY353B002_1,LY353B002,1,4,76.33,75.17,1.17,1.556471997,,0,0,0.778235998,30.543,31.457
LY249_1,LY249,1,1,65,64,1,1.5625,,0,0,0.9453125,32.649,31.7365
B54_2,B54,2,3,53.67,52.83,0.83,1.57107704,0,,0,0.796472185,31.488,32.685
LY363_1,LY363,1,3,64.33,63.33,1,1.579030475,,0,0,0.794726038,31.53,32.56
SY598_2,SY598,2,4,53.33,52.5,0.83,1.580952381,0,,0,0.801526718,30.427,31.28
B46_2,B46,2,4,64.17,63.17,1,1.583029919,0,,0,0.791306526,30.37,31.42
B31_2,B31,2,1,64,63,1,1.587301587,0,,0,0.79245283,33.033,32.92425
LY249_2,LY249,2,5,63.5,62.5,1,1.6,0,,0,0.961538462,27.8945,30.37
B142_1,B142,1,3,74.17,73,1.17,1.602739726,,0,0,0.74890411,31.96,32.588
B19_1,B19,1,1,62,61,1,1.639344262,,0,0,0.762295082,31.443,29.964
B69_1,B69,1,2,61,60,1,1.666666667,,0,0,0.786166667,32.53,32.28
B60_1,B60,1,5,60,59,1,1.694915254,,0,0,0.844576271,27.451,30.102
B69_1,B69,1,1,60,59,1,1.694915254,,0,0,0.805084746,32.28,32.04
LY529B016_2,LY529B016,2,3,60,59,1,1.694915254,0,,0,0.756410256,32.068,32.39
LY394_1,LY394,1,4,79,77.67,1.33,1.71237286,,0,0,0.691000386,30.613,31.43
B35_2,B35,2,3,49,48.17,0.83,1.723064148,0,,0,0.754660818,31.13,32.318
LY252_2,LY252,2,1,59,58,1,1.724137931,0,,0,,31.42,29.959
B64_2,B64,2,2,58.33,57.33,1,1.744287459,0,,0,0.807464789,32.753,33.658
B29_1,B29,1,1,58,57,1,1.754385965,,0,0,0.868421053,32.587,31.5945
B69_2,B69,2,2,48,47.17,0.83,1.759592962,0,,0,0.786166667,32.53,32.28
O36_2,O36,2,4,57.33,56.33,1,1.775252974,0,,0,0.766394558,30.415,31.21
B34_1,B34,1,2,57,56,1,1.785714286,,0,0,0.803571429,32.783,32.82
B27_2,B27,2,5,56.5,55.5,1,1.801801802,0,,0,0.783566285,27.767,30.18
SY517_1,SY517,1,5,74.67,73.33,1.33,1.813718805,,0,0,0.770489568,27.8375,30.24
O142_2,O142,2,1,56,55,1,1.818181818,0,,0,0.733333333,32.145,31.0475
SY517_2,SY517,2,1,56,55,1,1.818181818,0,,0,0.743243243,32.413,31.2315
LY97_1,LY97,1,4,74.33,73,1.33,1.821917808,,0,0,0.744246575,30.44,31.17
SY518_2,SY518,2,4,55.33,54.33,1,1.840603718,0,,0,0.804888889,29.927,31.933
LY274B14_2,LY274B14,2,2,55.17,54.17,1,1.846040244,0,,0,0.754141724,32.634,32.266
B64_1,B64,1,4,73.33,72,1.33,1.847222222,,0,0,0.803194444,30.425,32.055
LY274B14_1,LY274B14,1,1,71.83,70.5,1.33,1.886524823,,0,0,0.773049645,32.266,31.56425
B46_2,B46,2,1,63.17,62,1.17,1.887096774,0,,0,0.784810127,32.623,32.035
LY106_2,LY106,2,3,53.83,52.83,1,1.892863903,0,,0,0.780700458,31.947,32.687
B69_1,B69,1,4,62.33,61.17,1.17,1.912702305,,0,0,0.784698382,30.26,31.11
B011_1,B011,1,4,68.67,67.33,1.33,1.975345314,,0,0,0.769790584,30.18,31.487
LY272_2,LY272,2,5,60,58.83,1.17,1.988781234,0,,0,0.772351319,27.63675,30.227
LY272_2,LY272,2,3,59.83,58.67,1.17,1.994204875,0,,0,0.753822434,31.72,32.868
LY79_1,LY79,1,3,68,66.67,1.33,1.994900255,,0,0,0.777411129,31.27,32.52
B71_2,B71,2,1,51,50,1,2,0,,0,0.729927007,33.008,33.18375
SY518_1,SY518,1,2,67.83,66.5,1.33,2,,0,0,0.796992481,32.287,32.46
B29_2,B29,2,4,50.67,49.67,1,2.013287699,0,,0,0.816537892,30.2,31.65
B35_2,B35,2,5,50.67,49.67,1,2.013287699,0,,0,0.735851852,28.8635,30.5
B011_1,B011,1,2,66.83,65.5,1.33,2.030534351,,0,0,0.748091603,,
B79_1,B79,1,4,75.17,73.67,1.5,2.036106963,,0,0,0.83032442,30.16,31.8
O36_1,O36,1,4,75,73.5,1.5,2.040816327,,0,0,0.766394558,30.415,31.21
B60_2,B60,2,4,49.83,48.83,1,2.04792136,0,,0,0.818334171,30.102,31.635
B83_1,B83,1,1,74.5,73,1.5,2.054794521,,0,0,0.828767123,32.78,32.896
LY357_1,LY357,1,3,73.83,72.33,1.5,2.073828287,,0,0,0.838794414,31.57,32.143
B21_2,B21,2,2,49,48,1,2.083333333,0,,0,0.755905512,32.645,32.62
B68_2,B68,2,3,65.17,63.83,1.33,2.083659721,0,,0,0.77369697,31.23,32.45
LY355B012_2,LY355B012,2,3,57,55.83,1.17,2.095647501,0,,0,0.817064247,31.587,32.45
B79_1,B79,1,1,73,71.5,1.5,2.097902098,,0,0,0.825174825,31.684,29.8215
B004_1,B004,1,3,64.67,63.33,1.33,2.100110532,,0,0,0.897363019,31.43,33.12
B35_2,B35,2,2,48.17,47.17,1,2.11999152,0,,0,0.75472,32.318,31.978
B32_1,B32,1,2,48,47,1,2.127659574,,0,0,0.563829787,32.708,32.495
B35_1,B35,1,2,63.83,62.5,1.33,2.128,,0,0,0.75472,32.318,31.978
B003_1,B003,1,4,63.5,62.17,1.33,2.13929548,,0,0,,,
B004_1,B004,1,2,63.33,62,1.33,2.14516129,,0,0,0.903225806,33.12,32.985
B32_1,B32,1,1,47,46,1,2.173913043,,0,0,0.586956522,32.495,31.73275
LY399_2,LY399,2,2,61.33,60,1.33,2.216666667,0,,0,0.767557887,32.56,32.042
B40_1,B40,1,2,69,67.5,1.5,2.222222222,,0,0,0.82962963,32.652,32.647
LY90_1,LY90,1,1,68.5,67,1.5,2.23880597,,0,0,0.776119403,32.73,32.227
B34_2,B34,2,1,45,44,1,2.272727273,0,,0,0.792792793,32.82,32.44525
LY353B002_2,LY353B002,2,4,59.83,58.5,1.33,2.273504274,0,,0,0.778235998,30.543,31.457
B60_1,B60,1,3,59.67,58.33,1.33,2.280130293,,0,0,0.834390537,31.635,32.644
LY253_1,LY253,1,1,74.67,73,1.67,2.287671233,,0,0,,32.13,31.3785
B46_1,B46,1,2,80.33,78.5,1.83,2.331210191,,0,0,0.804713376,33.159,32.623
LY372_2,LY372,2,3,51.17,50,1.17,2.34,0,,0,0.746268657,31.66,32.58
LY399_1,LY399,1,2,80,78.17,1.83,2.341051554,,0,0,0.767557887,32.56,32.042
B21_1,B21,1,2,65,63.5,1.5,2.362204724,,0,0,0.755905512,32.645,32.62
B19_1,B19,1,4,64.17,62.67,1.5,2.393489708,,0,0,0.765916707,30.083,31.257
B24_2,B24,2,1,42.5,41.5,1,2.409638554,0,,0,0.768518519,31.743,30.1715
B27_2,B27,2,2,56.17,54.83,1.33,2.425679373,0,,0,0.786995838,32.687,32.544
B71_1,B71,1,5,70.17,68.5,1.67,2.437956204,,0,0,0.761605839,28.28225,30.22
LY363_1,LY363,1,1,63,61.5,1.5,2.43902439,,0,0,0.788617886,32.587,32.397
LY249_2,LY249,2,1,62,60.5,1.5,2.479338843,0,,0,0.9453125,32.649,31.7365
LY106_1,LY106,1,2,67.67,66,1.67,2.53030303,,0,0,0.795454545,32.687,32.188
B49_2,B49,2,4,60.5,59,1.5,2.542372881,0,,0,0.83486628,30.26,31.283
B79_2,B79,2,1,60.5,59,1.5,2.542372881,0,,0,0.825174825,31.684,29.8215
B61_2,B61,2,4,39.67,38.67,1,2.585983967,0,,0,,30.28,31.668
B35_1,B35,1,3,65.5,63.83,1.67,2.616324612,,0,0,0.754660818,31.13,32.318
B24_2,B24,2,3,45.67,44.5,1.17,2.629213483,0,,0,0.778380269,31.457,32.602
B31_2,B31,2,4,64.67,63,1.67,2.650793651,0,,0,0.795755968,30.37,31.74
B38_1,B38,1,2,64.67,63,1.67,2.650793651,,0,0,0.78047619,32.318,31.978
B005_1,B005,1,2,70.83,69,1.83,2.652173913,,0,0,0.731884058,32.475,32.357
B28_1,B28,1,2,70.83,69,1.83,2.652173913,,0,0,0.753623188,32.625,32.488
B59_2,B59,2,1,38.5,37.5,1,2.666666667,0,,0,0.75,32.393,31.33971429
B59_1,B59,1,2,51.17,49.83,1.33,2.669074855,,0,0,0.772626932,32.405,32.393
B46_1,B46,1,4,82,79.83,2.17,2.718276337,,0,0,0.791306526,30.37,31.42
LY97_2,LY97,2,5,56.67,55.17,1.5,2.718868951,0,,0,0.742230593,28.686,30.44
B006_1,B006,1,3,63,61.33,1.67,2.722974075,,0,0,0.720202185,31.76,32.568
B005_2,B005,2,3,56.33,54.83,1.5,2.735728616,0,,0,0.774107017,31.49,32.475
B49_1,B49,1,4,72.67,70.67,2,2.830055186,,0,0,0.83486628,30.26,31.283
B142_2,B142,2,1,54.5,53,1.5,2.830188679,0,,0,0.716216216,32.762,32.14375
LY551_2,LY551,2,1,54,52.5,1.5,2.857142857,0,,0,0.777777778,32.49,31.964
LY97_1,LY97,1,1,72,70,2,2.857142857,,0,0,0.771428571,32.223,32.013
B28_2,B28,2,2,53.5,52,1.5,2.884615385,0,,0,0.753623188,32.625,32.488
B48_2,B48,2,1,58.67,57,1.67,2.929824561,0,,0,0.72611465,32.587,31.536
B54_1,B54,1,3,68.33,66.33,2,3.015226896,,0,0,0.796472185,31.488,32.685
SY598_1,SY598,1,5,68,66,2,3.03030303,,0,0,0.808030303,28.356,30.427
B38_2,B38,2,2,50.67,49.17,1.5,3.050640635,0,,0,0.78047619,32.318,31.978
B35_1,B35,1,4,67.5,65.5,2,3.053435115,,0,0,0.748091603,30.5,31.13
SY598_2,SY598,2,1,50,48.5,1.5,3.092783505,0,,0,0.763779528,32.157,31.616
B008_1,B008,1,2,77.33,75,2.33,3.106666667,,0,0,0.8,32.36,32.256
B19_2,B19,2,4,49.5,48,1.5,3.125,0,,0,0.765916707,30.083,31.257
B48_1,B48,1,1,81,78.5,2.5,3.184713376,,0,0,0.72611465,32.587,31.536
B19_2,B19,2,2,48,46.5,1.5,3.225806452,0,,0,0.75,32.365,31.443
B32_1,B32,1,5,53.17,51.5,1.67,3.242718447,,0,0,0.637475728,27.73625,30.2
SY598_1,SY598,1,2,65.67,63.5,2.17,3.417322835,,0,0,0.787401575,32.61,32.157
LY529B016_2,LY529B016,2,1,60,58,2,3.448275862,0,,0,0.753246753,32.962,32.5645
B61_2,B61,2,3,38.67,37.33,1.33,3.562818109,0,,0,,31.668,32.828
O36_2,O36,2,1,57,55,2,3.636363636,0,,0,0.753424658,32.333,32.03425
LY357_2,LY357,2,2,60.67,58.5,2.17,3.709401709,0,,0,0.818181818,32.143,32.77
B24_1,B24,1,4,59.67,57.5,2.17,3.773913043,,0,0,0.79426087,30.03,31.457
B78_2,B78,2,1,36.33,35,1.33,3.8,0,,0,0.769230769,32.32,30.632
LY90_2,LY90,2,1,54,52,2,3.846153846,0,,0,0.776119403,32.73,32.227
B004_1,B004,1,4,67.17,64.67,2.5,3.865780114,,0,0,0.878769136,30.41,31.43
B78_1,B78,1,5,53.33,51.33,2,3.896356906,,0,0,0.798753166,27.189,30.313
SY518_1,SY518,1,1,66.5,64,2.5,3.90625,,0,0,0.828125,32.46,31.34875
LY386_2,LY386,2,3,61.5,59.17,2.33,3.937806321,0,,0,0.778552632,31.66,32.74
LY272_1,LY272,1,1,78,75,3,4,,0,0,0.84,32.668,31.87225
B80_2,B80,2,1,51.5,49.5,2,4.04040404,0,,0,0.785714286,32.353,31.95525
LY363_2,LY363,2,1,50.5,48.5,2,4.12371134,0,,0,0.788617886,32.587,32.397
B008_2,B008,2,2,62.5,60,2.5,4.166666667,0,,0,0.8,32.36,32.256
B61_2,B61,2,1,37.5,36,1.5,4.166666667,0,,0,0.648648649,32.77,32.088
B010_2,B010,2,5,57.33,55,2.33,4.236363636,0,,0,,29.2072,30.84
LY85_1,LY85,1,1,61.5,59,2.5,4.237288136,,0,0,0.796610169,32.61,32.77275
B28_1,B28,1,5,68.5,65.67,2.83,4.309425917,,0,0,0.817268159,27.78975,30.2
B011_2,B011,2,2,51.17,49,2.17,4.428571429,0,,0,0.748091603,,
LY551_1,LY551,1,1,70.5,67.5,3,4.444444444,,0,0,0.777777778,32.49,31.964
LY252_2,LY252,2,2,61.67,59,2.67,4.525423729,0,,0,,32.403,31.42
B38_1,B38,1,4,68.5,65.5,3,4.580152672,,0,0,0.776030534,30.5,31.13
O142_1,O142,1,1,78.5,75,3.5,4.666666667,,0,0,0.733333333,32.145,31.0475
LY372_1,LY372,1,1,67,64,3,4.6875,,0,0,0.78125,32.73,32.31714286
B24_2,B24,2,2,44.5,42.5,2,4.705882353,0,,0,0.787037037,32.602,31.743
LY79_2,LY79,2,2,51.83,49.5,2.33,4.707070707,0,,0,0.75,32.52,32.258
B29_1,B29,1,2,60.83,58,2.83,4.879310345,,0,0,0.844827586,33.085,32.587
LY353B002_1,LY353B002,1,1,75,71.5,3.5,4.895104895,,0,0,0.804195804,32.57,32.36
B78_2,B78,2,3,38.67,36.83,1.83,4.968775455,0,,0,0.797704137,32.087,32.952
SY598_2,SY598,2,2,52.5,50,2.5,5,0,,0,0.787401575,32.61,32.157
B61_1,B61,1,2,61.5,58.5,3,5.128205128,,0,0,0.641025641,32.828,32.77
B61_1,B61,1,1,58.5,55.5,3,5.405405405,,0,0,0.648648649,32.77,32.088
B78_1,B78,1,3,48.67,46.17,2.5,5.414771497,,0,0,0.797704137,32.087,32.952
B78_1,B78,1,4,51.33,48.67,2.67,5.485925622,,0,0,0.794534621,30.313,32.087
B40_2,B40,2,1,56,53,3,5.660377358,0,,0,0.848,32.647,32.17175
B24_1,B24,1,2,57.17,54,3.17,5.87037037,,0,0,0.787037037,32.602,31.743
B61_2,B61,2,5,42,39.67,2.33,5.873456012,0,,0,,27.773,30.28
B78_2,B78,2,4,41,38.67,2.33,6.025342643,0,,0,0.794534621,30.313,32.087
B60_1,B60,1,2,58.33,55,3.33,6.054545455,,0,0,0.890909091,32.644,32.337
LY394_2,LY394,2,2,53.67,50.5,3.17,6.277227723,0,,0,0.650186687,32.69,32.242
B40_1,B40,1,4,74,69.5,4.5,6.474820144,,0,0,0.808201439,30.09,31.49
B21_2,B21,2,1,48,45,3,6.666666667,0,,0,0.714285714,32.62,32.005
B32_1,B32,1,4,51.5,48.17,3.33,6.9130164,,0,0,0.636703342,30.2,31.6
B49_2,B49,2,1,61,57,4,7.01754386,0,,0,,31.78,30.93071429
B32_2,B32,2,4,32.83,30.67,2.17,7.0753179,0,,0,0.636703342,30.2,31.6
B008_1,B008,1,1,75,70,5,7.142857143,,0,0,0.785714286,32.256,31.656
LY386_2,LY386,2,2,59.17,55,4.17,7.581818182,0,,0,0.718954248,32.74,32.665
B40_1,B40,1,1,67.5,62.5,5,8,,0,0,0.848,32.647,32.17175
B005_2,B005,2,2,54.83,50.5,4.33,8.574257426,0,,0,0.731884058,32.475,32.357
B008_2,B008,2,1,60,55,5,9.090909091,0,,0,0.785714286,32.256,31.656
B54_1,B54,1,1,66.5,60,6.5,10.83333333,,0,0,0.9,33.083,33.27675
LY103_2,LY103,2,1,48.5,42,6.5,15.47619048,0,,0,0.591549296,32.148,30.677
B32_2,B32,2,2,30.83,26.5,4.33,16.33962264,0,,0,0.563829787,32.708,32.495
B003_2,B003,2,2,50.33,,,,,,0,,,
