GroupID,Rank,LC_Adj,Init_TL,Br_Pair_Shr,Growth_ThreeGroups,MinOverall_FishID,LC_Died,Date_Died ,TimeTo_Event,Event_Died
B010,1,1,78,0,1,30,3,03-Jun-23,100,1
B010,2,1,54,0,2,29.713,999,999,180,0
B19,1,1,61,0,2,29.653,999,999,180,0
B19,2,1,46.5,0,1,29.653,999,999,180,0
B21,1,1,63,0,1,29.73,999,999,180,0
B21,2,1,45,0,1,29.73,999,999,180,0
B24,1,1,54,0,1,29.62,999,999,180,0
B24,2,1,41.5,0,2,29.62,999,999,180,0
B27,1,1,75,0,2,29.627,999,999,180,0
B27,2,1,54,0,2,29.627,999,999,180,0
B28,1,1,68,0,3,29.653,999,999,180,0
B28,2,1,52,0,1,29.653,999,999,180,0
B29,1,1,57,0,1,29.587,999,999,180,0
B29,2,1,49.5,0,3,29.587,999,999,180,0
B32,1,1,46,0,1,29.555,999,999,180,0
B32,2,1,27,0,3,29.555,999,999,180,0
B34,1,1,55.5,0,3,29.6,999,999,180,0
B34,2,1,44,0,1,29.6,999,999,180,0
B40,1,1,62.5,0,2,29.815,999,999,180,0
B40,2,1,53,0,1,29.815,5,07-Aug-23,165,1
B58,1,1,78.5,0,1,29.62,999,999,180,0
B58,2,1,59,0,2,29.62,999,999,180,0
B61,1,1,55.5,0,1,31.06,3,26-May-23,92,1
B61,2,1,36,0,2,29.64,999,999,180,0
B68,1,1,82,0,1,29.47,999,999,180,0
B68,2,1,65.5,0,2,29.47,999,999,180,0
B78,1,1,45.5,0,1,29.62,999,999,180,0
B78,2,1,35,0,1,29.62,999,999,180,0
B79,1,1,71.5,0,1,29.64,999,999,180,0
B79,2,1,59,0,1,29.64,999,999,180,0
B80,1,1,63,0,1,29.555,999,999,180,0
B80,2,1,49.5,0,3,29.555,999,999,180,0
B83,1,1,73,0,1,28.483,999,999,180,0
B83,2,1,60.5,0,3,28.483,999,999,180,0
LY249,1,1,64,0,3,29.745,999,999,180,0
LY249,2,1,60.5,0,1,29.745,999,999,180,0
LY252,2,1,58,0,1,29.64,999,999,180,0
LY253,1,1,73,0,1,29.62,999,999,180,0
LY274B14,1,1,70.5,0,1,29.6,5,19-Aug-23,177,1
LY274B14,2,1,54.5,0,2,29.6,999,999,180,0
LY344,1,1,69.5,0,1,29.73,999,999,180,0
LY344,2,1,57.5,0,3,29.73,999,999,180,0
LY347,1,1,77,0,1,29.51,999,999,180,0
LY347,2,1,56.5,0,2,29.51,999,999,180,0
LY355B012,1,1,68.5,0,2,29.725,999,999,180,0
LY355B012,2,1,56,0,2,30.533,4,16-Jul-23,143,1
LY372,1,1,64,0,2,29.74,999,999,180,0
LY372,2,1,50,0,1,30.61,4,16-Jul-23,143,1
LY386,1,1,76,0,2,30.657,5,24-Jul-23,151,1
LY386,2,1,54.5,0,1,30.657,4,21-Jul-23,148,1
LY479,1,1,70.5,0,3,29.6,999,999,180,0
LY479,2,1,56,0,1,30.8,5,24-Jul-23,151,1
LY79,1,1,66,0,1,29.56,999,999,180,0
LY79,2,1,51,0,3,29.56,999,999,180,0
LY85,1,1,59,0,1,29.78,999,999,180,0
LY85,2,1,47,0,2,29.78,999,999,180,0
LY90,1,1,67,0,2,29.6,999,999,180,0
LY90,2,1,52,0,1,29.6,999,999,180,0
LY97,1,1,70,0,1,29.683,999,999,180,0
LY97,2,1,54,0,2,29.683,999,999,180,0
SY598,1,1,63.5,0,2,29.613,999,999,180,0
SY598,2,1,48.5,0,1,29.613,999,999,180,0
B003,1,2,63,0,3,29.68,999,999,180,0
B011,1,2,65.5,0,1,29.77,999,999,180,0
B011,2,2,49,0,2,29.77,999,999,180,0
B004,1,1,63,1,2,29.345,999,999,180,0
B004,2,1,56.5,1,2,29.345,999,999,180,0
B008,1,1,70,1,2,29.56,999,999,180,0
B008,2,1,55,1,2,29.56,999,999,180,0
B142,1,1,74,1,3,29.783,999,999,180,0
B142,2,1,53,1,2,29.783,999,999,180,0
B20,1,1,55.5,1,2,29.74,999,999,180,0
B20,2,1,48,1,2,29.74,999,999,180,0
B31,1,1,79.5,1,2,29.916,999,999,180,0
B31,2,1,63,1,3,29.916,999,999,180,0
B33,1,1,67,1,2,29.77,999,999,180,0
B33,2,1,55,1,3,29.77,999,999,180,0
B35,1,1,62.5,1,2,29.576,999,999,180,0
B35,2,1,48,1,2,29.576,999,999,180,0
B38,1,1,63.5,1,2,29.576,999,999,180,0
B38,2,1,49,1,3,29.576,999,999,180,0
B46,1,1,79,1,3,30.057,999,999,180,0
B46,2,1,62,1,3,30.057,999,999,180,0
B48,1,1,78.5,1,3,29.62,999,999,180,0
B48,2,1,57,1,3,29.62,999,999,180,0
B49,2,1,57,1,3,29.51,999,999,180,0
B54,1,1,60,1,3,30.013,999,999,180,0
B54,2,1,54,1,3,30.013,999,999,180,0
B59,1,1,50,1,3,29.56,999,999,180,0
B59,2,1,37.5,1,2,30.527,4,04-Jul-23,131,1
B60,1,1,55.5,1,3,29.713,999,999,180,0
B60,2,1,49,1,3,29.713,999,999,180,0
B62,1,1,80,1,3,29.587,999,999,180,0
B62,2,1,63,1,2,29.587,5,04-Aug-23,162,1
B64,1,1,70,1,2,29.705,999,999,180,0
B64,2,1,58,1,3,29.705,999,999,180,0
B69,1,1,59,1,2,29.513,999,999,180,0
B69,2,1,47.5,1,3,29.513,999,999,180,0
B71,1,1,68.5,1,2,29.927,999,999,180,0
B71,2,1,50,1,2,29.927,999,999,180,0
LY103,1,1,71,1,3,29.66,999,999,180,0
LY103,2,1,42,1,2,29.66,999,999,180,0
LY106,1,1,65,1,2,29.713,999,999,180,0
LY106,2,1,52,1,2,29.713,999,999,180,0
LY272,1,1,75,1,3,29.815,999,999,180,0
LY272,2,1,63,1,3,29.815,999,999,180,0
LY353B002,1,1,71.5,1,3,29.59,999,999,180,0
LY353B002,2,1,57.5,1,2,29.59,999,999,180,0
LY357,1,1,73,1,2,29.487,999,999,180,0
LY357,2,1,58.5,1,2,29.487,999,999,180,0
LY363,1,1,61.5,1,2,29.705,999,999,180,0
LY363,2,1,48.5,1,3,29.705,999,999,180,0
LY394,1,1,77,1,2,29.543,999,999,180,0
LY394,2,1,51,1,2,29.543,999,999,180,0
LY399,1,1,80,1,3,29.51,999,999,180,0
LY399,2,1,61,1,2,29.51,999,999,180,0
LY529B016,1,1,77,1,2,29.743,999,999,180,0
LY529B016,2,1,58,1,2,29.743,999,999,180,0
LY551,1,1,67.5,1,2,29.957,999,999,180,0
LY551,2,1,52.5,1,3,29.957,999,999,180,0
O142,1,1,75,1,3,29.88,999,999,180,0
O142,2,1,55,1,2,29.88,999,999,180,0
O36,1,1,73,1,2,29.51,999,999,180,0
O36,2,1,55,1,3,29.51,999,999,180,0
SY517,1,1,74,1,3,29.387,999,999,180,0
SY517,2,1,55,1,2,29.387,999,999,180,0
SY518,1,1,64,1,3,29.58,999,999,180,0
SY518,2,1,53,1,2,29.58,999,999,180,0
B005,1,2,69,1,2,29.58,999,999,180,0
B005,2,2,50.5,1,2,29.58,999,999,180,0
B006,1,2,61.5,1,3,29.51,999,999,180,0
B006,2,2,43.5,1,2,29.51,999,999,180,0
B007,1,2,73.33,1,2,29.49,999,999,180,0
B007,2,2,54.17,1,3,29.49,999,999,180,0
